KKBYX,NWS,MIAMI,FL/Boca Chica Key,2720560,428824,24.5975,-81.703056,2.4,20,22.4
KCAE,NWS,COLUMBIA,SC/Columbia,3756460,489066,33.948611,-81.118333,70.4,30,100.4
KCBW,NWS,PORTLAND,ME/Houlton,5099090,592359,46.039167,-67.806389,227.4,30,257.4
KCBX,NWS,BOISE,ID/Ada County,4815580,561810,43.490556,-116.23556,933,20,953
KCCX,NWS,CENTRAL PENNSYLVANIA,PA/Rush,4534540,752310,40.923056,-78.003611,733,20,753
KCLE,NWS,CLEVELAND,OH/Cleveland,4584970,428149,41.413056,-81.859722,232.6,20,252.6
KCLX,NWS,CHARLESTON,SC/Grays,3613100,496041,32.655556,-81.042222,29.6,30,59.6
KCRP,NWS,CORPUS CHRISTI,TX/Corpus Christi,3074180,646691,27.784167,-97.511111,13.7,20,33.7
KCXX,NWS,BURLINGTON,VT/Colchester,4930280,645697,44.511111,-73.166944,96.6,30,126.6
KCYS,NWS,CHEYENNE,WY/Cheyenne,4555640,516269,41.151944,-104.80611,1867.8,10,1877.8
KDAX,NWS,SACRAMENTO,CA/Sacramento,4262240,615295,38.501111,-121.67778,9.1,30,39.1
KDDC,NWS,DODGE CITY,KS/Dodge City,4179720,414658,37.760833,-99.968889,789.4,20,809.4
KDFX,DOD,AUSTIN/SAN ANT,TX/(Laughlin AFB),3238890,375597,29.272778,-100.28056,344.7,10,354.7
KDIX,NWS,PHILADELPHIA,PA/Manchester,4422030,550330,39.946944,-74.410833,45.4,20,65.4
KDLH,NWS,DULUTH,MN/Duluth,5187350,560264,46.836944,-92.209722,435.3,30,465.3
KDMX,NWS,DES MOINES,IA/Johnston,4620170,439890,41.731111,-93.722778,299,30,329
KDOX,DOD,WAKEFIELD,VA/(Dover AFB),4297510,461830,38.825556,-75.439722,15.2,30,45.2
KDTX,NWS,DETROIT,MI/White Lake,4730430,297555,42.699722,-83.471667,326.7,30,356.7
KDVN,NWS,QUAD CITIES,IA/Davenport,4609490,701570,41.611667,-90.580833,229.8,20,249.8
KDYX,DOD,SAN ANGELO,TX/(Dyess AFB),3600140,476108,32.538333,-99.254444,462.4,10,472.4
KEAX,NWS,K.C./PLEASANT HILL,MO/Pleasant Hill,4296480,390216,38.810278,-94.264444,303.3,20,323.3
KEMX,NWS,TUCSON,AZ/Pima County,3528700,534962,31.893611,-110.63028,1586.5,30,1616.5
KENX,NWS,ALBANY,NY/East Berne,4715310,576811,42.586389,-74.063889,556.6,20,576.6
KEOX,DOD,BIRMINGHAM,AL/Fort Rucker,3481670,646367,31.460556,-85.459444,132.3,10,142.3
KEPZ,NWS,EL PASO,TX/Santa Teresa,3527620,339378,31.873056,-106.69806,1250.9,30,1280.9
KESX,NWS,LAS VEGAS,NV/Nelson,3952850,690772,35.701111,-114.89139,1483.5,20,1503.5
KEVX,DOD,TALLAHASSEE,FL/Eglin AFB RDA,3381830,603439,30.564444,-85.921389,42.7,20,62.7
KEWX,NWS,AUSTIN/SAN ANTONIO,TX/New Braunfels,3286370,593994,29.703889,-98.028333,192.9,20,212.9
KEYX,DOD,LAS VEGAS,NV/Edwards AFB,3884030,448884,35.097778,-117.56083,840.3,20,860.3
KFCX,NWS,ROANOKE,VA/Floyd County,4097830,564586,37.024444,-80.273889,874.2,20,894.2
KFDR,DOD,OKLAHOMA CITY,OK/Altus AFB,3802320,502171,34.362222,-98.976389,386.2,10,396.2
KFDX,DOD,ALBUQUERQUE,NM/(Cannon AFB),3833450,625571,34.635278,-103.63,1417.3,10,1427.3
KFFC,NWS,ATLANTA,GA/Peachtree City,3694240,726480,33.363611,-84.565833,261.5,30,291.5
KFSD,NWS,SIOUX FALLS,SD/Sioux Falls,4828590,683298,43.587778,-96.729444,435.9,10,445.9
KFSX,NWS,FLAGSTAFF,AZ/Coconino,3825870,481859,34.574444,-111.19778,2260.7,20,2280.7
KFTG,NWS,DENVER/BOULDER,CO/Denver,4404180,538888,39.786667,-104.54583,1675.5,30,1705.5
KFWS,NWS,DALLAS/FORT WORTH,TX/Fort Worth,3605230,659290,32.573056,-97.303056,208.2,20,228.2
KGGW,NWS,GLASGOW,MT/Glasgow,5340520,379268,48.206389,-106.625,693.7,20,713.7
KGJX,NWS,GRAND JUNCTION,CO/Mesa,4327380,741062,39.062222,-108.21389,3045.3,10,3055.3
KGLD,NWS,GOODLAND,KS/Goodland,4360980,267374,39.366944,-101.70028,1112.8,10,1122.8
KGRB,NWS,GREEN BAY,WI/Ashwaubenon,4927820,411644,44.498333,-88.111389,207.9,30,237.9
KGRK,DOD,DALLAS/FORT WORTH,TX/Ft Hood RDA,3399900,654819,30.721944,-97.383056,164,10,174
KGRR,NWS,GRAND RAPIDS,MI/Grand Rapids,4750060,618822,42.893889,-85.544722,237.1,20,257.1
KGSP,NWS,GREENVILLE/SPARTANBURG,SC/Greer,3860780,388512,34.883333,-82.22,286.5,30,316.5
PGUA,DOD,GUAM,GU/Barrigada Comm. Station,1488450,737280,13.454444,-144.80833,80.5,30,110.5
KGWX,DOD,MEMPHIS,TN/(Columbus AFB),3751490,377127,33.896667,-88.328889,145.1,20,165.1
KGYX,NWS,PORTLAND,ME/Gray,4860580,399086,43.891389,-70.256389,124.7,10,134.7
KHDX,DOD,EL PASO,TX/White Sands Missile Range,3660320,395202,33.076389,-106.12278,1286.9,10,1296.9
KHGX,NWS,HOUSTON/GALVESTON,TX/Dickinson,3262080,298393,29.471944,-95.079167,5.5,20,25.5
PHKI,FAA,HONOLULU,HI/Kauai,2421220,442957,21.894167,-159.55222,54.6,30,84.6
PHKM,FAA,HONOLULU,HI/Kohala,2227800,209573,20.125556,-155.77778,1161.9,30,1191.9
PHMO,FAA,HONOLULU,HI/Molokai,2337930,689006,21.132778,-157.18,415.4,20,435.4
KHNX,NWS,SAN JOAQUIN VALLEY,CA/Hanford,4022010,263684,36.314167,-119.63222,74.1,20,94.1
KHPX,DOD,PADUCAH,KY/(Fort Campbell),4065700,474555,36.736667,-87.285,175.6,10,185.6
KHTX,NWS,BIRMINGHAM,AL/Northeastern Alabama,3865730,583719,34.930556,-86.083333,536.4,15,551.4
PHWA,FAA,HONOLULU,HI/Hawaii,2113320,229707,19.095,-155.56889,420.6,20,440.6
KICT,NWS,WICHITA,KS/Wichita,4168650,637363,37.654722,-97.442778,406.9,10,416.9
KICX,NWS,SALT LAKE CITY,UT/Cedar City,4162050,335590,37.590833,-112.86222,3230.9,30,3260.9
KILN,NWS,CINCINNATI,OH/Wilmington,4367220,257100,39.420278,-83.821667,321.9,30,351.9
KILX,NWS,CENTRAL ILLINOIS,IL/Lincoln,4447090,300949,40.150556,-89.336944,177.4,30,207.4
KIND,NWS,INDIANAPOLIS,IN/Indianapolis,4395540,561697,39.7075,-86.280278,240.8,20,260.8
KINX,NWS,TULSA,OK/Inola,4006410,269336,36.175,-95.564722,203.6,20,223.6
KIWA,NWS,PHOENIX,AZ/Mesa,3683540,437616,33.289167,-111.67,412.4,10,422.4
KIWX,NWS,NORTHERN INDIANA,IN/North Webster,4579410,608738,41.358889,-85.7,292.6,25,317.6
KJAX,NWS,JACKSONVILLE,FL/Jacksonville,3372710,432630,30.484722,-81.701944,10.1,20,30.1
KJGX,DOD,ATLANTA,GA/State Hwy 96 (Robins AFB),3617730,279542,32.675278,-83.351111,158.8,20,178.8
KJKL,NWS,JACKSON,KY/Noctor,4162930,295782,37.590833,-83.313056,415.7,25,440.7
KLBB,NWS,LUBBOCK,TX/Lubbock,3727370,239028,33.654167,-101.81417,993.3,20,1013.3
KLCH,NWS,LAKE CHARLES,LA/Lake Charles,3332690,479210,30.125278,-93.215833,4,20,24
KLIX,NWS,NEW ORLEANS/BATON ROUGE,LA/Slidell,3359480,228352,30.336667,-89.825556,7.3,30,37.3
KLNX,NWS,NORTH PLATTE,NE/Thedford,4646290,369359,41.957778,-100.57639,905.3,20,925.3
KLOT,NWS,CHICAGO,IL/Romeoville,4606460,409611,41.604722,-88.084722,202.1,20,222.1
KLRX,NWS,ELKO,NV/Lander County,4509880,516652,40.739722,-116.80278,2055.6,30,2085.6
KLSX,NWS,ST. LOUIS,MO/St Charles,4285910,701512,38.698889,-90.682778,185.3,30,215.3
KLTX,NWS,WILMINGTON,NC/Shallotte,3763970,737496,33.989444,-78.428889,19.5,20,39.5
KLVX,NWS,LOUISVILLE,KY/Fort Knox,4203600,592756,37.975278,-85.943889,219.2,30,249.2
KLWX,NWS,BALTIMORE,MD/ WASHINGTON DC/Sterling,4316950,285356,38.975278,-77.477778,82.9,25,107.9
KLZK,NWS,LITTLE ROCK,AR/North Little Rock,3855150,567458,34.836389,-92.262222,173.1,20,193.1
KMAF,NWS,MIDLAND/ODESSA,TX/Midland,3537600,765708,31.943333,-102.18917,874.2,10,884.2
KMAX,NWS,MEDFORD,OR/Jackson County,4658820,523389,42.081111,-122.71722,2290,10,2300
KMBX,DOD,BISMARCK,ND/(Minot AFB),5361610,361941,48.3925,-100.865,455.1,20,475.1
KMHX,NWS,MOREHEAD CITY,NC/Newport,3849820,328326,34.776111,-76.876111,9.4,30,39.4
KMKX,NWS,MILWAUKEE,WI/Dousman,4758400,373550,42.967778,-88.550556,292,10,302
KMLB,NWS,MELBOURNE,FL/Melbourne,3109810,533968,28.113333,-80.654167,10.7,20,30.7
KMOB,NWS,MOBILE,AL/Mobile,3394730,381250,30.679444,-88.239722,63.4,20,83.4
KMPX,NWS,MINNEAPOLIS,MN/Chanhassen,4966320,455309,44.848889,-93.565556,288.3,30,318.3
KMQT,NWS,MARQUETTE,MI/Marquette,5153210,457949,46.531111,-87.548333,430.1,30,460.1
KMRX,NWS,KNOXVILLE/TRI-CITIES,TN/Morristown,4005320,283986,36.168611,-83.401667,407.5,20,427.5
KMSX,NWS,MISSOULA,MT/Missoula County,5214060,273161,47.041111,-113.98611,2394.2,10,2404.2
KMTX,NWS,SALT LAKE CITY,UT/Elder County,4568940,378723,41.262778,-112.44778,1969,30,1999
KMUX,NWS,SAN FRANCISCO,CA/Santa Clara County,4112670,597824,37.155278,-121.89833,1057.4,20,1077.4
KMVX,NWS,EASTERN NORTH DAKOTA,ND/Mayville,5265180,626040,47.527778,-97.325556,300.5,20,320.5
KMXX,DOD,BIRMINGHAM,AL/(Maxwell AFB RDA),3600570,613650,32.536667,-85.789722,121.9,30,151.9
KNKX,NWS,SAN DIEGO,CA/San Diego,3642300,496079,32.918889,-117.04194,291.1,20,311.1
KNQA,NWS,MEMPHIS,TN/Millington,3915060,238871,35.344722,-89.873333,86,20,106
KOAX,NWS,OMAHA,NE/Valley,4577660,720402,41.320278,-96.366667,349.9,30,379.9
KOHX,NWS,NASHVILLE,TN/Old Hickory,4011460,539308,36.247222,-86.5625,176.5,20,196.5
KOKX,NWS,NEW YORK CITY,NY/Upton,4526030,680021,40.865556,-72.863889,25.9,30,55.9
KOTX,NWS,SPOKANE,WA/Spokane,5280960,452965,47.680278,-117.62667,726.6,10,736.6
KPAH,NWS,PADUCAH,KY/Paducah,4103920,342474,37.068333,-88.771944,119.5,30,149.5
KPBZ,NWS,PITTSBURGH,PA/Coraopolis,4487060,566226,40.531667,-80.218056,361.2,20,381.2
KPDT,NWS,PENDLETON,OR/Pendleton,5061340,355738,45.690556,-118.85278,461.8,10,471.8
KPOE,DOD,LAKE CHARLES,LA/Ft Polk Firing Pt 707,3446840,502303,31.155556,-92.975833,124.4,10,134.4
KPUX,NWS,PUEBLO,CO/Pueblo County,4257110,571422,38.459444,-104.18139,1599.9,10,1609.9
KRAX,NWS,RALEIGH/DURHAM,NC/Clayton,3949760,727220,35.665556,-78.489722,106.1,30,136.1
KRGX,NWS,RENO,NV/Washoe County,4403370,289062,39.754167,-119.46222,2529.5,20,2549.5
KRIW,NWS,RIVERTON,WY/Riverton,4771250,705412,43.066111,-108.47722,1697.1,10,1707.1
KRLX,NWS,CHARLESTON,WV/Ruthdale,4240580,436786,38.311111,-81.723056,329.2,30,359.2
KRTX,NWS,PORTLAND,OR/Scappoose,5062350,502702,45.714722,-122.96528,479.1,30,509.1
KSFX,NWS,POCATELLO/IDAHO FALLS,ID/Springfield,4773950,362803,43.105833,-112.68611,1363.7,10,1373.7
KSGF,NWS,SPRINGFIELD,MO/Springfield,4121050,464470,37.235278,-93.400556,389.5,20,409.5
KSHV,NWS,SHREVEPORT,LA/Shreveport,3590720,420916,32.450833,-93.841389,83.2,30,113.2
KSJT,NWS,SAN ANGELO,TX/San Angelo,3471720,358065,31.371389,-100.4925,576.1,30,606.1
KSOX,NWS,SAN DIEGO,CA/Orange County,3742130,441157,33.817778,-117.63583,922.6,15,937.6
KSRX,NWS,TULSA,OK/Western Arkansas,3906120,376183,35.290556,-94.361667,195.1,20,215.1
